City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,amod,21.9833,72.9,26.22,33,100,2.57,IN,1711935282
221,tolanaro,-25.0319,46.9987,24.04,88,75,7.2,MG,1711935282
222,balqash,46.8481,74.995,1.36,70,2,1.92,KZ,1711935282
223,happy valley-goose bay,53.3168,-60.3315,3.17,75,75,4.12,CA,1711935257
224,praia,14.9215,-23.5087,21.3,68,40,6.17,CV,1711935137
225,sarykemer,43.0,71.5,-0.29,63,6,1.47,KZ,1711935283
226,undurkhaan,47.3194,110.6556,-0.15,74,100,1.16,MN,1711935283
227,mount gambier,-37.8333,140.7667,23.06,46,100,4.13,AU,1711935250
228,sosnovyy bor,59.9,29.1167,11.44,97,100,3.64,RU,1711935283
229,prince albert,53.2001,-105.7677,0.97,55,20,4.63,CA,1711935284
230,st. john's,47.5649,-52.7093,2.16,85,75,6.17,CA,1711935128
231,mozarlandia,-14.7447,-50.5706,24.84,83,53,2.27,BR,1711935284
232,barrouallie,13.2333,-61.2667,25.76,79,63,6.32,VC,1711935284
233,inyonga,-6.7167,32.0667,17.39,99,93,1.58,TZ,1711935284
234,al kharijah,25.4514,30.5464,21.84,29,0,2.63,EG,1711935285
235,keflavik,64.0049,-22.5624,-2.05,59,75,11.83,IS,1711935285
236,flin flon,54.7682,-101.865,-7.43,93,83,2.82,CA,1711935145
237,san patricio,28.017,-97.5169,23.98,88,100,6.49,US,1711935285
238,pingliang,35.5392,106.6861,17.26,48,100,1.13,CN,1711935285
239,weston,26.1004,-80.3998,23.33,57,0,2.57,US,1711934610
240,bardai,11.65,7.2333,27.52,11,100,3.69,NG,1711935286
241,mananjary,-21.2167,48.3333,22.72,94,75,3.05,MG,1711935286
242,jwaneng,-24.6004,24.7303,17.54,68,99,4.7,BW,1711935286
243,gadzhiyevo,69.2551,33.3362,-10.26,91,82,4.39,RU,1711935286
244,yelizovo,53.1873,158.3805,1.08,93,100,6.0,RU,1711935287
245,dublin,37.7021,-121.9358,16.87,71,100,5.66,US,1711935244
246,lakatoro,-16.0999,167.4164,28.53,71,67,4.37,VU,1711935254
247,bryne,58.7354,5.6477,4.02,96,100,2.57,NO,1711935287
248,cha grande,-8.2383,-35.4617,22.88,96,100,0.08,BR,1711935287
249,manta,-0.95,-80.7333,26.88,78,75,4.92,EC,1711935121
250,petrovsk,52.3064,45.3917,4.19,99,86,2.32,RU,1711935288
251,christchurch,-43.5333,172.6333,15.79,65,100,2.06,NZ,1711934559
252,mola di bari,41.0609,17.0873,16.28,82,62,8.07,IT,1711935288
253,nabire,-3.3667,135.4833,30.36,63,70,2.2,ID,1711935288
254,collie,-33.3667,116.15,18.79,42,0,4.86,AU,1711935289
255,polyarnyy,69.1989,33.4478,-9.48,88,87,4.53,RU,1711935289
256,macherla,16.4833,79.4333,27.54,59,6,4.05,IN,1711935289
257,fanipol,53.7627,27.2962,11.48,78,100,3.3,BY,1711935289
258,am timan,11.0297,20.2827,29.22,16,100,2.78,TD,1711935289
259,markala,13.7021,-6.0659,32.64,12,13,3.94,ML,1711935290
260,burauen,10.9756,124.8928,29.24,67,32,4.36,PH,1711935290
261,sandnessjoen,66.0217,12.6316,1.29,97,100,5.14,NO,1711935268
262,tazacorte,28.629,-17.9293,17.54,81,0,3.13,ES,1711935290
263,zeya,53.75,127.2667,-5.29,66,76,1.52,RU,1711935290
264,zhangjiakou,40.81,114.8794,12.46,35,100,5.89,CN,1711935291
265,tazovsky,67.4667,78.7,-21.65,98,75,2.7,RU,1711935291
266,mikhaylovskoye,51.8239,79.7172,3.0,69,93,3.91,RU,1711935291
267,gering,41.8258,-103.6605,9.26,72,100,14.92,US,1711935291
268,puerto santa,-8.9906,-78.6456,21.67,85,100,3.65,PE,1711935291
269,puerto ayora,-0.7393,-90.3518,25.86,93,5,3.13,EC,1711935292
270,wangkui,46.8333,126.5,1.37,38,17,5.21,CN,1711935292
271,tut,37.7953,37.9161,12.69,50,28,1.26,TR,1711935292
272,al kharj,24.155,47.3346,17.32,55,100,0.84,SA,1711935292
273,kanniyakumari,8.0833,77.5667,28.13,72,96,1.49,IN,1711935183
274,ratnagiri,16.9833,73.3,26.8,68,47,2.36,IN,1711935293
275,sundumbili,-29.1337,31.3975,19.77,88,85,4.85,ZA,1711935293
276,chibougamau,49.9168,-74.3659,-3.21,54,0,1.54,CA,1711935293
277,tamanrasset,22.785,5.5228,19.95,14,0,2.57,DZ,1711935293
278,san luis de la loma,17.2706,-100.8939,24.83,78,8,2.96,MX,1711935293
279,flying fish cove,-10.4217,105.6791,27.82,78,75,5.14,CX,1711935294
280,port blair,11.6667,92.75,25.02,100,7,1.03,IN,1711935001
281,machico,32.7,-16.7667,15.4,80,20,1.03,PT,1711935294
282,codrington,-38.2667,141.9667,22.53,59,100,4.63,AU,1711935294
283,kitimat,54.0524,-128.6534,13.21,71,73,5.81,CA,1711935295
284,cabo san lucas,22.8909,-109.9124,23.17,67,75,4.63,MX,1711934681
285,campo formoso,-10.5075,-40.3214,23.66,80,52,1.68,BR,1711935295
286,papao,-17.75,-149.55,27.82,83,99,12.28,PF,1711935295
287,wolin,53.8421,14.6147,7.77,91,97,1.24,PL,1711935295
288,port hedland,-20.3167,118.5667,35.03,26,3,5.14,AU,1711935142
289,shalkar,47.8288,59.6258,2.94,70,30,0.92,KZ,1711935296
290,gazojak,41.1875,61.4036,11.04,35,100,3.72,TM,1711935296
291,port macquarie,-31.4333,152.9167,25.5,63,59,3.01,AU,1711935296
292,cidreira,-30.1811,-50.2056,22.98,90,100,2.73,BR,1711935296
293,greymouth,-42.4667,171.2,15.18,71,100,1.67,NZ,1711935296
294,dubbo,-32.25,148.6167,27.07,44,0,2.57,AU,1711935057
295,caleta de carquin,-11.0925,-77.6267,22.48,83,100,4.58,PE,1711935297
296,taslicay,39.6336,43.375,3.64,57,1,0.62,TR,1711935297
297,rabo de peixe,37.8,-25.5833,13.73,67,40,5.14,PT,1711935297
298,khash,28.2211,61.2158,14.48,21,95,0.38,IR,1711935298
299,fort st. john,56.2499,-120.8529,11.94,32,20,12.35,CA,1711935148
300,coquimbo,-29.9533,-71.3436,18.53,75,0,1.85,CL,1711935012
301,kalabo,-14.97,22.6814,19.33,91,100,1.54,ZM,1711935256
302,nar'yan-mar,67.6713,53.087,-13.27,94,26,3.58,RU,1711935298
303,floro,61.5996,5.0328,4.04,93,2,1.54,NO,1711935299
304,ban houakhoua,20.2453,100.4547,31.8,26,7,0.58,LA,1711935299
305,oum hadjer,13.2954,19.6966,28.39,13,100,4.92,TD,1711935299
306,mejit,10.2753,170.8646,27.09,76,77,9.58,MH,1711935299
307,howard springs,-12.497,131.047,31.01,82,100,3.01,AU,1711935300
308,mormugao,15.4,73.8,26.59,83,20,0.51,IN,1711935300
309,puerto baquerizo moreno,-0.9,-89.6,24.55,83,9,4.37,EC,1711935300
310,taltal,-25.4,-70.4833,19.87,80,20,2.37,CL,1711935071
